Trial,StimulusType,Reaction,ReactionTime(ms),ErrorType
1,Target,Yes,457,None
2,Non-Target,No,0,None
3,Non-Target,No,0,None
4,Non-Target,No,0,None
5,Non-Target,No,0,None
6,Non-Target,No,0,None
7,Non-Target,No,0,None
8,Target,Yes,427,None
9,Target,Yes,503,None
10,Non-Target,No,0,None
11,Non-Target,No,0,None
12,Non-Target,No,0,None
13,Non-Target,No,0,None
14,Target,Yes,429,None
15,Target,Yes,380,None
16,Target,Yes,398,None
17,Non-Target,No,0,None
18,Target,Yes,455,None
19,Non-Target,No,0,None
20,Non-Target,No,0,None
21,Non-Target,No,0,None
22,Target,Yes,491,None
23,Non-Target,No,0,None
24,Target,No,0,Omission
25,Non-Target,No,0,None
26,Non-Target,No,0,None
27,Target,Yes,401,None
28,Non-Target,No,0,None
29,Target,Yes,486,None
30,Non-Target,No,0,None
31,Non-Target,No,0,None
32,Non-Target,No,0,None
33,Non-Target,No,0,None
34,Target,No,0,Omission
35,Non-Target,No,0,None
36,Non-Target,No,0,None
37,Target,Yes,386,None
38,Target,Yes,398,None
39,Non-Target,No,0,None
40,Non-Target,No,0,None
41,Target,Yes,466,None
42,Non-Target,No,0,None
43,Non-Target,No,0,None
44,Non-Target,No,0,None
45,Target,Yes,509,None
46,Target,Yes,398,None
47,Non-Target,No,0,None
48,Non-Target,No,0,None
49,Non-Target,No,0,None
50,Non-Target,No,0,None
51,Non-Target,No,0,None
52,Non-Target,No,0,None
53,Non-Target,No,0,None
54,Target,Yes,372,None
55,Target,Yes,413,None
56,Non-Target,No,0,None
57,Non-Target,No,0,None
58,Non-Target,No,0,None
59,Non-Target,No,0,None
60,Target,Yes,400,None
61,Non-Target,No,0,None
62,Target,Yes,393,None
63,Non-Target,No,0,None
64,Non-Target,No,0,None
65,Target,Yes,402,None
66,Non-Target,No,0,None
67,Non-Target,No,0,None
68,Non-Target,No,0,None
69,Target,No,0,Omission
70,Non-Target,No,0,None
71,Non-Target,No,0,None
72,Non-Target,No,0,None
73,Non-Target,No,0,None
74,Non-Target,No,0,None
75,Target,Yes,432,None
76,Non-Target,No,0,None
77,Non-Target,No,0,None
78,Target,Yes,361,None
79,Non-Target,No,0,None
80,Non-Target,No,0,None
81,Non-Target,No,0,None
82,Non-Target,No,0,None
83,Target,Yes,512,None
84,Target,Yes,355,None
85,Target,Yes,386,None
86,Non-Target,No,0,None
87,Target,Yes,410,None
88,Target,Yes,339,None
89,Non-Target,No,0,None
90,Target,Yes,361,None
91,Target,No,0,Omission
92,Non-Target,No,0,None
93,Target,Yes,433,None
94,Non-Target,No,0,None
95,Non-Target,No,0,None
96,Target,Yes,347,None
97,Non-Target,No,0,None
98,Non-Target,No,0,None
99,Target,Yes,417,None
100,Non-Target,No,0,None
101,Target,Yes,433,None
102,Target,Yes,466,None
103,Non-Target,No,0,None
104,Non-Target,No,0,None
105,Target,Yes,453,None
106,Non-Target,No,0,None
107,Target,Yes,346,None
108,Non-Target,No,0,None
109,Target,Yes,413,None
110,Non-Target,No,0,None
111,Non-Target,No,0,None
112,Target,Yes,389,None
113,Non-Target,No,0,None
114,Non-Target,No,0,None
115,Non-Target,No,0,None
116,Non-Target,No,0,None
117,Target,Yes,443,None
118,Non-Target,No,0,None
119,Non-Target,No,0,None
120,Non-Target,No,0,None
121,Non-Target,No,0,None
122,Non-Target,No,0,None
123,Non-Target,No,0,None
